,Layer_0,Layer_1,Layer_2,Layer_3,Layer_4,Layer_5,Layer_6,Layer_7,Layer_8,Layer_9,Layer_10,Layer_11,Layer_12,Layer_13,Layer_14,Layer_15,Layer_16,Layer_17,Layer_18,Layer_19,Layer_20,Layer_21,Layer_22,Layer_23,Layer_24,Layer_25,Layer_26,Layer_27,Layer_28,Layer_29,Layer_30,Layer_31
Layer_0,0.0,3.844626186911343,4.25886734346207,526.880615234375,528.880615234375,582.380615234375,578.880615234375,578.880615234375,579.880615234375,579.880615234375,579.880615234375,579.880615234375,579.380615234375,581.380615234375,581.380615234375,583.380615234375,583.380615234375,586.380615234375,589.380615234375,589.380615234375,591.380615234375,591.380615234375,591.380615234375,591.380615234375,591.380615234375,591.380615234375,589.380615234375,303.06492126114927,126.76913744577318,128.50919988758733,100.04807781997418,22.342172633615505
Layer_1,3.844626186911343,0.0,0.8907392722089987,526.5125031592316,528.5125031592316,582.0125031592316,578.5125031592316,578.5125031592316,579.5125031592316,579.5125031592316,579.5125031592316,579.5125031592316,579.0125031592316,581.0125031592316,581.0125031592316,583.0125031592316,583.0125031592316,586.0125031592316,589.0125031592316,589.0125031592316,591.0125031592316,591.0125031592316,591.0125031592316,591.0125031592316,591.0125031592316,591.0125031592316,589.0125031592316,302.93862927536026,126.34744370169174,128.37674391962875,100.00779874084623,22.071030925278972
Layer_2,4.25886734346207,0.8907392722089987,0.0,526.33203125,528.33203125,581.83203125,578.33203125,578.33203125,579.33203125,579.33203125,579.33203125,579.33203125,578.83203125,580.83203125,580.83203125,582.83203125,582.83203125,585.83203125,588.83203125,588.83203125,590.83203125,590.83203125,590.83203125,590.83203125,590.83203125,590.83203125,588.83203125,302.8714141220855,126.15079002786523,128.30618718527654,99.97823206271235,21.983658374283376
Layer_3,526.880615234375,526.5125031592316,526.33203125,0.0,2.5001743575962325,55.91696378190824,53.456482196029924,53.70202887907661,55.51964079210936,55.56068671599067,263.54201340109086,263.85116311588024,266.42031812238264,269.31792827359385,269.435003051008,271.7835148179463,271.51720593426677,295.70378122165687,297.92694193647105,297.4841885141034,300.27827897880235,300.50476690318914,301.36296328357946,301.31546146102266,301.541424806737,301.53776786485525,300.93544026342795,310.7686875551866,461.7261466011466,444.8646089271089,518.9434505528255,520.1285479371417
Layer_4,528.880615234375,528.5125031592316,528.33203125,2.5001743575962325,0.0,54.430745442708336,52.46560966372978,52.85906277593289,54.74832265792959,54.7954778897772,263.42447869178216,263.73449112175916,266.31145567897886,269.20419526471164,269.321177339671,271.6614255163144,271.39559966516146,295.7408632470583,297.96406343977145,297.52123726009836,300.31511368935077,300.5418243783112,301.3995550032232,301.3521096919229,301.5783258261591,301.5757466784078,300.9737924361795,311.3309025744939,464.2261466011466,447.3646089271089,521.4434505528255,522.6285479371417
Layer_5,582.380615234375,582.0125031592316,581.83203125,55.91696378190824,54.430745442708336,0.0,3.671871800778051,8.543922917946356,12.717085054914644,12.949174310807612,257.70959375179956,258.14257814999394,261.5123624684477,263.9056072813092,264.01150062804726,265.90100195132544,265.7051165156634,290.56097497088706,292.67639490076016,292.2362861352119,294.98034160592147,295.2687115243573,296.35386966389774,296.4326096143418,298.60068984972855,299.465331393905,299.26456763215185,342.8036445536446,514.2261466011466,498.67239967239965,571.4434505528255,572.6285479371417
Layer_6,578.880615234375,578.5125031592316,578.33203125,53.456482196029924,52.46560966372978,3.671871800778051,0.0,6.69013955805948,12.177822603542818,12.431491011386031,257.9674784592387,258.4025148083986,261.744632092975,264.1320676936369,264.2373792318708,266.13392041805434,265.92966609270627,290.8461953927805,292.96355020209086,292.523564506612,295.26950671846606,295.5470114293204,296.6030252067697,296.6742174928057,298.7883890262888,299.65033767537733,299.44823020291466,339.3080266879095,510.7261466011466,495.17239967239965,567.9434505528255,569.1285479371417
Layer_7,578.880615234375,578.5125031592316,578.33203125,53.70202887907661,52.85906277593289,8.543922917946356,6.69013955805948,0.0,7.626004555692056,8.025635765381859,258.0723055871562,258.5121679876204,261.86869910425287,264.2457334095098,264.34992144597936,266.2592900375379,266.0598128503898,291.1250898031599,293.2425472375118,292.80176471082234,295.5490963597653,295.82101495416316,296.8577248763101,296.9247407780428,299.0127837659881,299.8737326832114,299.6701909345647,339.3091220215244,510.7261466011466,495.17239967239965,567.9434505528255,569.1285479371417
Layer_8,579.880615234375,579.5125031592316,579.33203125,55.51964079210936,54.74832265792959,12.717085054914644,12.177822603542818,7.626004555692056,0.0,4.660978600004479,258.23587074873393,258.6945195053563,262.1484737036953,264.44180356587276,264.5443566249688,266.35853687883105,266.2596272586507,290.8982065561655,293.00153902570895,292.56121731194975,295.2945519649621,295.8228950469246,297.12036382751717,297.2570425872428,299.5692537574862,300.43233585591986,300.2334676206747,340.3080664782325,511.7261466011466,496.17239967239965,568.9434505528255,570.1285479371417
Layer_9,579.880615234375,579.5125031592316,579.33203125,55.56068671599067,54.7954778897772,12.949174310807612,12.431491011386031,8.025635765381859,4.660978600004479,0.0,257.10227632639743,257.5581450591216,260.99587970205647,263.29297879755643,263.39562543389445,265.2151166336347,265.07799663121926,289.7941127717739,291.8978115522305,291.45688838474484,294.19040879258165,294.6636643968187,295.93358545201806,296.0655067937478,298.37391958775623,299.23763573199,299.04154542115356,340.3039804719492,511.7261466011466,496.17239967239965,568.9434505528255,570.1285479371417
Layer_10,579.880615234375,579.5125031592316,579.33203125,263.54201340109086,263.42447869178216,257.70959375179956,257.9674784592387,258.0723055871562,258.23587074873393,257.10227632639743,0.0,5.237183317017301,16.779535217035217,17.613516792716013,19.554127436207516,19.59522804054054,22.62559445542844,35.855487145526205,37.64896857084357,38.33594380471669,40.398450803014704,46.531728389905574,53.49613359031083,55.02899119934032,68.13995761230869,72.95707338975161,74.8370506792748,340.3036445536446,511.7261466011466,496.17239967239965,568.9434505528255,570.1285479371417
Layer_11,579.880615234375,579.5125031592316,579.33203125,263.85116311588024,263.73449112175916,258.14257814999394,258.4025148083986,258.5121679876204,258.6945195053563,257.5581450591216,5.237183317017301,0.0,11.855024058149057,12.855019259316133,15.177371663211506,15.626074138769452,18.760630214731776,34.46590269246519,36.532899198914826,36.80989123445178,39.20426862187116,45.22385525840116,52.475340197264025,54.03359542959152,67.24721307777948,72.08838550464527,73.97536949014,340.3036445536446,511.7261466011466,496.17239967239965,568.9434505528255,570.1285479371417
Layer_12,579.380615234375,579.0125031592316,578.83203125,266.42031812238264,266.31145567897886,261.5123624684477,261.744632092975,261.86869910425287,262.1484737036953,260.99587970205647,16.779535217035217,11.855024058149057,0.0,3.993164462402744,8.56573281377969,9.96949541871417,12.640794558763309,31.346102227938164,33.563982839373466,34.37417160146652,36.771335211276615,44.093523854998466,51.61933257831695,53.19827218020578,66.4382630144349,71.29647249788852,73.21786361556869,340.3036445536446,511.7261466011466,495.67239967239965,568.9434505528255,570.1285479371417
Layer_13,581.380615234375,581.0125031592316,580.83203125,269.31792827359385,269.20419526471164,263.9056072813092,264.1320676936369,264.2457334095098,264.44180356587276,263.29297879755643,17.613516792716013,12.855019259316133,3.993164462402744,0.0,4.943501740376741,6.4220061680999185,8.897272983210483,29.508859445382882,31.545342572686323,31.811717590282043,34.271209241912366,41.527664571976096,48.982194930192975,50.56172718794789,63.81763555103399,68.69513374347359,70.65986851997594,342.8036445536446,514.2261466011466,497.67239967239965,571.4434505528255,572.6285479371417
Layer_14,581.380615234375,581.0125031592316,580.83203125,269.435003051008,269.321177339671,264.01150062804726,264.2373792318708,264.34992144597936,264.5443566249688,263.39562543389445,19.554127436207516,15.177371663211506,8.56573281377969,4.943501740376741,0.0,4.840546379120598,5.790819047807573,29.520736156966624,31.56920916833026,31.182852730216013,34.02729416205979,39.22520123106061,46.67471470938268,48.257495777027025,61.536509120981776,66.43633668291871,68.44029372056715,342.8036445536446,514.2261466011466,497.67239967239965,571.4434505528255,572.6285479371417
Layer_15,583.380615234375,583.0125031592316,582.83203125,271.7835148179463,271.6614255163144,265.90100195132544,266.13392041805434,266.2592900375379,266.35853687883105,265.2151166336347,19.59522804054054,15.626074138769452,9.96949541871417,6.4220061680999185,4.840546379120598,0.0,4.234896473177723,28.17393849815725,29.754123797092547,29.543165502149876,31.90998109259828,38.75837603794757,46.25913707786266,47.859788599412624,61.10645211084664,65.98982787386107,67.94974772135417,345.3036445536446,516.7261466011466,499.86783374283374,573.9434505528255,575.1285479371417
Layer_16,583.380615234375,583.0125031592316,582.83203125,271.51720593426677,271.39559966516146,265.7051165156634,265.92966609270627,266.0598128503898,266.2596272586507,265.07799663121926,22.62559445542844,18.760630214731776,12.640794558763309,8.897272983210483,5.790819047807573,4.234896473177723,0.0,28.539809518325143,30.04388372747748,29.67175662878788,32.0659903511466,36.826910295416155,44.1994486940776,45.788011555589684,59.052873641130475,63.9728493030495,65.99534863121289,345.3036445536446,516.7261466011466,499.86783374283374,573.9434505528255,575.1285479371417
Layer_17,586.380615234375,586.0125031592316,585.83203125,295.70378122165687,295.7408632470583,290.56097497088706,290.8461953927805,291.1250898031599,290.8982065561655,289.7941127717739,35.855487145526205,34.46590269246519,31.346102227938164,29.508859445382882,29.520736156966624,28.17393849815725,28.539809518325143,0.0,7.981586878071253,12.674003394874367,14.324191056735001,22.884444103194102,29.94797425266175,31.5386529995905,44.64623643529894,49.533732596232596,51.489122645372646,348.8036445536446,520.2261466011466,503.3646089271089,577.4434505528255,578.6285479371417
Layer_18,589.380615234375,589.0125031592316,588.83203125,297.92694193647105,297.96406343977145,292.67639490076016,292.96355020209086,293.2425472375118,293.00153902570895,291.8978115522305,37.64896857084357,36.532899198914826,33.563982839373466,31.545342572686323,31.56920916833026,29.754123797092547,30.04388372747748,7.981586878071253,0.0,9.690828040620522,12.138315161752661,20.20644879165387,27.1907951986077,28.769150542588044,41.8953566492629,46.79830985104422,48.78136677160115,352.3036445536446,523.7261466011466,506.8646089271089,580.9434505528255,582.1285479371417
Layer_19,589.380615234375,589.0125031592316,588.83203125,297.4841885141034,297.52123726009836,292.2362861352119,292.523564506612,292.80176471082234,292.56121731194975,291.45688838474484,38.33594380471669,36.80989123445178,34.37417160146652,31.811717590282043,31.182852730216013,29.543165502149876,29.67175662878788,12.674003394874367,9.690828040620522,0.0,3.4971111025798525,10.939776846270988,18.153716216216218,19.722550675675677,32.90422489250614,37.797642813267814,39.832207207207205,352.3036445536446,523.7261466011466,506.8646089271089,580.9434505528255,582.1285479371417
Layer_20,591.380615234375,591.0125031592316,590.83203125,300.27827897880235,300.31511368935077,294.98034160592147,295.26950671846606,295.5490963597653,295.2945519649621,294.19040879258165,40.398450803014704,39.20426862187116,36.771335211276615,34.271209241912366,34.02729416205979,31.90998109259828,32.0659903511466,14.324191056735001,12.138315161752661,3.4971111025798525,0.0,9.909707959024365,16.94016175266175,18.47660728910729,31.872597384316133,36.81209369881245,38.95423273059992,354.8036445536446,526.2261466011466,509.3646089271089,583.4434505528255,584.6285479371417
Layer_21,591.380615234375,591.0125031592316,590.83203125,300.50476690318914,300.5418243783112,295.2687115243573,295.5470114293204,295.82101495416316,295.8228950469246,294.6636643968187,46.531728389905574,45.22385525840116,44.093523854998466,41.527664571976096,39.22520123106061,38.75837603794757,36.826910295416155,22.884444103194102,20.20644879165387,10.939776846270988,9.909707959024365,0.0,8.075543227886978,9.657830415642916,22.86245904995905,27.748246826371826,29.820830773955773,354.8036445536446,526.2261466011466,509.3646089271089,583.4434505528255,584.6285479371417
Layer_22,591.380615234375,591.0125031592316,590.83203125,301.36296328357946,301.3995550032232,296.35386966389774,296.6030252067697,296.8577248763101,297.12036382751717,295.93358545201806,53.49613359031083,52.475340197264025,51.61933257831695,48.982194930192975,46.67471470938268,46.25913707786266,44.1994486940776,29.94797425266175,27.1907951986077,18.153716216216218,16.94016175266175,8.075543227886978,0.0,3.6520734157452908,15.272458538083539,20.309972614660115,22.461980446355447,358.3036445536446,529.7261466011466,512.864608927109,586.9434505528255,588.1285479371417
Layer_23,591.380615234375,591.0125031592316,590.83203125,301.31546146102266,301.3521096919229,296.4326096143418,296.6742174928057,296.9247407780428,297.2570425872428,296.0655067937478,55.02899119934032,54.03359542959152,53.19827218020578,50.56172718794789,48.257495777027025,47.859788599412624,45.788011555589684,31.5386529995905,28.769150542588044,19.722550675675677,18.47660728910729,9.657830415642916,3.6520734157452908,0.0,14.114448966011466,19.28827869062244,21.30616873976249,358.3036445536446,529.7261466011466,512.864608927109,586.9434505528255,588.1285479371417
Layer_24,591.380615234375,591.0125031592316,590.83203125,301.541424806737,301.5783258261591,298.60068984972855,298.7883890262888,299.0127837659881,299.5692537574862,298.37391958775623,68.13995761230869,67.24721307777948,66.4382630144349,63.81763555103399,61.536509120981776,61.10645211084664,59.052873641130475,44.64623643529894,41.8953566492629,32.90422489250614,31.872597384316133,22.86245904995905,15.272458538083539,14.114448966011466,0.0,6.430557688370189,8.143030814905815,358.8036445536446,530.2261466011466,513.364608927109,587.4434505528255,588.6285479371417
Layer_25,591.380615234375,591.0125031592316,590.83203125,301.53776786485525,301.5757466784078,299.465331393905,299.65033767537733,299.8737326832114,300.43233585591986,299.23763573199,72.95707338975161,72.08838550464527,71.29647249788852,68.69513374347359,66.43633668291871,65.98982787386107,63.9728493030495,49.533732596232596,46.79830985104422,37.797642813267814,36.81209369881245,27.748246826371826,20.309972614660115,19.28827869062244,6.430557688370189,0.0,3.1524045352170353,358.8036445536446,530.2261466011466,513.364608927109,587.4434505528255,588.6285479371417
Layer_26,589.380615234375,589.0125031592316,588.83203125,300.93544026342795,300.9737924361795,299.26456763215185,299.44823020291466,299.6701909345647,300.2334676206747,299.04154542115356,74.8370506792748,73.97536949014,73.21786361556869,70.65986851997594,68.44029372056715,67.94974772135417,65.99534863121289,51.489122645372646,48.78136677160115,39.832207207207205,38.95423273059992,29.820830773955773,22.461980446355447,21.30616873976249,8.143030814905815,3.1524045352170353,0.0,357.8036445536446,529.2261466011466,512.364608927109,586.4434505528255,587.6285479371417
Layer_27,303.06492126114927,302.93862927536026,302.8714141220855,310.7686875551866,311.3309025744939,342.8036445536446,339.3080266879095,339.3091220215244,340.3080664782325,340.3039804719492,340.3036445536446,340.3036445536446,340.3036445536446,342.8036445536446,342.8036445536446,345.3036445536446,345.3036445536446,348.8036445536446,352.3036445536446,352.3036445536446,354.8036445536446,354.8036445536446,358.3036445536446,358.3036445536446,358.8036445536446,358.8036445536446,357.8036445536446,0.0,219.68120393120392,199.7023443898444,240.0741995546683,291.3430845618346
Layer_28,126.76913744577318,126.34744370169174,126.15079002786523,461.7261466011466,464.2261466011466,514.2261466011466,510.7261466011466,510.7261466011466,511.7261466011466,511.7261466011466,511.7261466011466,511.7261466011466,511.7261466011466,514.2261466011466,514.2261466011466,516.7261466011466,516.7261466011466,520.2261466011466,523.7261466011466,523.7261466011466,526.2261466011466,526.2261466011466,529.7261466011466,529.7261466011466,530.2261466011466,530.2261466011466,529.2261466011466,219.68120393120392,0.0,47.07724201474201,88.76966241809991,112.71746391277641
Layer_29,128.50919988758733,128.37674391962875,128.30618718527654,444.8646089271089,447.3646089271089,498.67239967239965,495.17239967239965,495.17239967239965,496.17239967239965,496.17239967239965,496.17239967239965,496.17239967239965,495.67239967239965,497.67239967239965,497.67239967239965,499.86783374283374,499.86783374283374,503.3646089271089,506.8646089271089,506.8646089271089,509.3646089271089,509.3646089271089,512.864608927109,512.864608927109,513.364608927109,513.364608927109,512.364608927109,199.7023443898444,47.07724201474201,0.0,79.52679668304668,116.52741413288288
Layer_30,100.04807781997418,100.00779874084623,99.97823206271235,518.9434505528255,521.4434505528255,571.4434505528255,567.9434505528255,567.9434505528255,568.9434505528255,568.9434505528255,568.9434505528255,568.9434505528255,568.9434505528255,571.4434505528255,571.4434505528255,573.9434505528255,573.9434505528255,577.4434505528255,580.9434505528255,580.9434505528255,583.4434505528255,583.4434505528255,586.9434505528255,586.9434505528255,587.4434505528255,587.4434505528255,586.4434505528255,240.0741995546683,88.76966241809991,79.52679668304668,0.0,90.70675931613431
Layer_31,22.342172633615505,22.071030925278972,21.983658374283376,520.1285479371417,522.6285479371417,572.6285479371417,569.1285479371417,569.1285479371417,570.1285479371417,570.1285479371417,570.1285479371417,570.1285479371417,570.1285479371417,572.6285479371417,572.6285479371417,575.1285479371417,575.1285479371417,578.6285479371417,582.1285479371417,582.1285479371417,584.6285479371417,584.6285479371417,588.1285479371417,588.1285479371417,588.6285479371417,588.6285479371417,587.6285479371417,291.3430845618346,112.71746391277641,116.52741413288288,90.70675931613431,0.0
